codigo;nombre;
68001000;BUCARAMANGA SANTANDER;
54498000;OCAÑA NORTE DE SANTANDER;
25754000;SOACHA CUNDINAMARCA;
5001000;MEDELLIN ANTIOQUIA;
11001000;BOGOTA BOGOTA D. C.;
8001000;BARRANQUILLA ATLANTICO;
54001000;CUCUTA NORTE DE SANTANDER;
19573000;PUERTO TEJADA CAUCA;
25312000;GRANADA CUNDINAMARCA;
50001000;VILLAVICENCIO META;
15516000;PAIPA BOYACA;
25430000;MADRID CUNDINAMARCA;
73449000;MELGAR TOLIMA;
73001000;IBAGUE TOLIMA;
15104000;SOGAMOSO BOYACA;
76834000;TULUA VALLE DEL CAUCA;
25817000;TOCANCIPA CUNDINAMARCA;
17001000;MANIZALES CALDAS;
15238000;DUITAMA BOYACA;
25214000;COTA CUNDINAMARCA;
25053000;ARBELAEZ CUNDINAMARCA;
25290000;FUSAGASUGA CUNDINAMARCA;
76863000;VERSALLES VALLE DEL CAUCA;
76001000;CALI VALLE DEL CAUCA;
25269000;FACATATIVA CUNDINAMARCA;
15001000;TUNJA BOYACA;
41001000;NEIVA HUILA;
52356000;IPIALES NARINO;
52001006;NARINO PASTO NARINO;
52480000;NARINO NARINO;
25483000;NARINO CUNDINAMARCA;
15176000;CHIQUINQUIRA BOYACA;
52490009;SANTANDER SOLEDAD OLAYA HERRERA NARINO;
5088000;BELLO ANTIOQUIA;
50006000;ACACIAS META;
25758006;BRICENO SOPO CUNDINAMARCA;
73124000;CAJAMARCA TOLIMA;
76233000;DAGUA VALLE DEL CAUCA;
25473000;MOSQUERA CUNDINAMARCA;
76520000;PALMIRA VALLE DEL CAUCA;
76892000;YUMBO VALLE DEL CAUCA;
76109000;BUENAVENTURA VALLE DEL CAUCA;
5380000;LA ESTRELLA LA ESTRELLA ANTIOQUIA;
25899000;ZIPAQUIRA CUNDINAMARCA;
66170000;DOSQUEBRADAS RISARALDA;
25740000;SIBATE CUNDINAMARCA;
5360000;ITAGUI ANTIOQUIA;
76147000;CARTAGO VALLE DEL CAUCA;
25286000;FUNZA CUNDINAMARCA;
76111000;GUADALAJARA DE BUGA VALLE DEL CAUCA;
8758000;SOLEDAD ATLANTICO;
76890000;YOTOCO VALLE DEL CAUCA;
5308000;GIRARDOTA ANTIOQUIA;
66001000;PEREIRA RISARALDA;
25817005;TOLIMA TOCANCIPA CUNDINAMARCA;
52838000;TUQUERRES NARINO;
86757000;SAN MIGUEL PUTUMAYO;
86568000;PUERTO ASIS PUTUMAYO;
68077000;BARBOSA SANTANDER;
15759000;SOGAMOSO BOYACA;
25506000;VENECIA CUNDINAMARCA;
63001000;ARMENIA QUINDIO;
25295000;GACHANCIPA CUNDINAMARCA;
25126000;CAJICA CUNDINAMARCA;
76563020;VALLECITO PRADERA VALLE DEL CAUCA;
25151000;CAQUEZA CUNDINAMARCA;
19300000;GUACHENE CAUCA;
50711000;VISTA HERMOSA META;
25815000;TOCAIMA CUNDINAMARCA;
52001000;PASTO NARINO;
5212000;COPACABANA ANTIOQUIA;
5885000;YALI ANTIOQUIA;
76130000;CANDELARIA VALLE DEL CAUCA;
41551000;PITALITO HUILA;
66682000;SANTA ROSA DE CABAL RISARALDA;
19001000;POPAYAN CAUCA;
5266000;ENVIGADO ANTIOQUIA;
76113000;BUGALAGRANDE VALLE DEL CAUCA;
