nit;nombre;codTipoId;codSede;direccion;municipio;codMunicipioRndc;latitud;longitud;telefono;rol
8903002343;ASHE S.A.S.;N;QUINTA;PARQUE INDUSTRIAL DE BUCARAMANGA VíA PALENQUE KM 3, MANZANA;BUCARAMANGA SANTANDER;68001000;7.110300;-74;3155361888;
9014044647;MADEIROS L&D SAS;N;PRINCI;CARRERA 7A # 27-47;OCAÑA NORTE DE SANTANDER;54498000;8.226524;-73.341486;;
9010299782;GESTIÓN AMBIENTAL VILLAPAPEL;N;SJORGE;VíA BOGOTá - IBAGUé, KM 16.94 SOACHA - GRANADA, SAN JOSE BAJ;SOACHA CUNDINAMARCA;25754000;4.52824;-74.34532;;
8909378655;COMPAÑIA DE MOLDURAS Y LAZOS SAS;N;PRINCI;CL 48   57   96;MEDELLIN ANTIOQUIA;05001000;6.250781;-75.576042;;
9003825907;CORPORACION ABURRA LIMPIO;N;BOGO;AV CUIDAD DE CALI 13A#-81 KENNDY;BOGOTA BOGOTA D. C.;11001000;4.655614;-74.141327;;
9002265236;ESTRADEZ SAS;N;PRIN;CR 38# 38-01;MEDELLIN ANTIOQUIA;05001000;6.265966;-75.549293;;
9007850730;NATURAL LOGISTC SAS;N;PRINC;CALLE 29 # 10-323 BARRIO LAS NIEVES;BARRANQUILLA ATLANTICO;08001000;10.951648;-74.784360;;
9016573866;C.L MORACA BIENES SAS;N;PRINC;AV 4 NRO.1-39 LOCAL 5 URB. PORTAL DE SANTA BARBARA;CUCUTA NORTE DE SANTANDER;54001000;7.905812;-72.476030;;
8909323898;TERNIUM DEL CAUCA;N;PRINC;íA PARQUE IND DEL CAUCA PUERTO TEJADA, CAUCA;PUERTO TEJADA CAUCA;19573000;3.209131;-76.423253;;
9014557062;ECOAMBIENTAL RECICLAJE S.A.S.;N;ALTI;CRA. 1, A 2B #SUR-34, SOACHA, CUNDINAMARCA, COLOMBIA;SOACHA CUNDINAMARCA;25754000;4.589729;-74.185956;;
9010299782;GESTIÓN AMBIENTAL VILLAPAPEL;N;gran;GRANADA;GRANADA CUNDINAMARCA;25312000;4.528036;-74.345782;;
9010299782;GESTIÓN AMBIENTAL VILLAPAPEL;N;SOACHA;SOACHA;SOACHA CUNDINAMARCA;25754000;4.545230;-74.244633;;
9006261863;RECICLAJES BOGOTA N.S. S.A.S.;N;SOA;SOACHA, CUNDINAMARCA;SOACHA CUNDINAMARCA;25754000;4.589646;-74.186650;;
